x,y,date_single
351317.7879726522,569652.804273054,20/02/2014
360224.00438455533,558732.3948109575,20/02/2014
350352.1591618357,563767.7678906041,20/02/2014
351228.7455698908,563352.5809809332,20/02/2014
353105.98631964606,571127.4895789918,20/02/2014
354451.0746245503,581085.9370240108,20/02/2014
358536.96162411274,579894.4054159899,20/02/2014
353894.2527151703,583801.7273547577,20/02/2014
347222.4315271795,580682.6571101986,20/02/2014
359081.6352344691,564620.9029881095,20/02/2014
358135.5212163037,564811.088113591,20/02/2014
364708.8255701877,564772.0974943165,21/02/2014
351653.01478653296,590282.387974372,21/02/2014
358446.1172965435,557495.2127057033,21/02/2014
354914.4123491614,581167.9156841311,21/02/2014
357443.3582461366,566258.2338822052,21/02/2014
361508.1907794053,554077.5447361084,21/02/2014
350108.0219639929,575073.3639442329,21/02/2014
354569.35410007037,593174.3469207811,21/02/2014
353125.20406393165,579297.6031543373,21/02/2014
362904.13780090655,566396.3689072503,21/02/2014
356296.65721389,561915.4789197282,21/02/2014
363791.9895489504,565150.6309766991,21/02/2014
350226.24272230413,583344.1310670348,21/02/2014
349240.5037320155,567580.7932994155,21/02/2014
345310.1380291997,584879.1542202337,21/02/2014
349110.42416357424,578730.7482972252,21/02/2014
362107.68402856967,563756.815214247,21/02/2014
359857.62835571833,568482.9796576129,21/02/2014
347898.4708508236,588093.3064370104,21/02/2014
344874.58258501487,583558.7203968575,21/02/2014
357269.58643569826,559680.9612711647,21/02/2014
346168.78626255627,568508.958787756,21/02/2014
358764.9284130645,556884.6958535712,21/02/2014
355607.5316967332,588534.5793572894,21/02/2014
344334.7804701313,592143.5115856634,21/02/2014
352878.93494259386,594383.7288893586,21/02/2014
347687.8707815453,583289.0079873254,21/02/2014
354284.6768664604,583426.1484638909,22/02/2014
352738.11480483954,566033.2796674728,22/02/2014
358768.91426176345,576365.1932111741,22/02/2014
355101.8671548732,564930.8132761972,22/02/2014
345349.4579602796,583603.2736913577,22/02/2014
345613.1184511461,584878.2034458015,22/02/2014
355334.6872323395,567336.3502399605,22/02/2014
353809.5049434575,566569.5227527509,22/02/2014
363679.8734566807,566523.7510800832,22/02/2014
363408.86006926396,564131.1065479808,22/02/2014
350259.4579011752,574880.71692268,22/02/2014
356582.6078287104,566139.743539308,22/02/2014
353906.1544122533,585864.2834371291,22/02/2014
360026.53732872626,558524.2532815846,22/02/2014
353392.86984839983,564456.9052331309,22/02/2014
359982.9583855548,558429.4761890533,22/02/2014
348134.6925830192,579126.9539327825,22/02/2014
359154.50150713185,567014.1596651818,22/02/2014
349880.6182535065,591649.05889252,22/02/2014
352655.48826024565,569674.4225806091,22/02/2014
349230.45689898013,591272.3011174873,22/02/2014
359089.89454420115,566712.1689859373,22/02/2014
349930.6374880681,585202.8938213342,22/02/2014
355032.98478473455,582017.3415930892,22/02/2014
355477.9781639316,565938.8222816676,22/02/2014
364211.7717403231,566243.3745974847,22/02/2014
355712.03478764225,592782.9053347497,22/02/2014
354969.60310297064,582048.1752363517,22/02/2014
350681.91631392506,581144.0776055214,22/02/2014
351742.67876733,576139.9067152075,22/02/2014
346738.76502465946,580507.7454494275,22/02/2014
358657.61780738976,557106.074150389,22/02/2014
362739.8534247732,566562.761166345,22/02/2014
354367.29924141546,573188.5218725913,23/02/2014
351065.9684825358,568718.6543213998,23/02/2014
349122.87871063314,579296.0903946697,23/02/2014
353215.77296878555,594067.6781606846,23/02/2014
