x,y,date_single
351840.80951488944,591610.3484966549,20/12/2015
356248.18742510234,570992.7108807933,20/12/2015
352005.6665099542,594123.7899311868,20/12/2015
358631.12148949,561555.4479528313,20/12/2015
351903.616296637,591893.8320212803,20/12/2015
365636.71196550835,563943.2562659935,20/12/2015
355028.38045285037,594787.6402575808,20/12/2015
350466.4134502626,574695.7964789585,20/12/2015
351903.54540694365,585006.5342647058,20/12/2015
354336.22346021025,581868.5887643015,20/12/2015
355147.91883183,594508.0962406212,20/12/2015
356455.2061952498,570791.855394841,20/12/2015
347248.6816549101,569608.6307151056,20/12/2015
357290.6606256599,573464.0868498236,21/12/2015
356868.176012732,563146.5755835826,21/12/2015
364314.749233925,564334.6827849373,21/12/2015
356231.1703898812,589257.9401722059,21/12/2015
348576.35398541554,584259.8153562878,21/12/2015
345680.50518612476,585607.6175047263,21/12/2015
351981.3146076083,565707.8509834715,21/12/2015
356721.84979602403,564729.9883344283,21/12/2015
350600.2763296532,577145.4809027205,21/12/2015
350566.4439810812,589231.1129341669,21/12/2015
364212.95710060163,564369.0908267777,21/12/2015
361730.3340934559,570528.2645009913,21/12/2015
360311.22346614,562492.4229357583,21/12/2015
351004.68996876007,588063.7254242955,21/12/2015
355350.8387694078,591749.6062175172,21/12/2015
364819.1787636209,564352.340592637,21/12/2015
359502.56577698834,559126.2349423106,21/12/2015
361945.5138001221,568475.6670474381,21/12/2015
343623.6398028524,591215.2912766743,21/12/2015
357936.2240146221,556557.7331357121,21/12/2015
355516.06950209866,564534.2623470831,21/12/2015
347925.0379658705,577840.6391888176,21/12/2015
344005.929282169,590541.0935570566,21/12/2015
344452.46601085685,586272.7202512923,21/12/2015
359353.52107979194,579744.7675801946,21/12/2015
356798.4031518576,562083.7174664625,21/12/2015
349660.2597382407,588810.5150157963,21/12/2015
351691.17454756337,588854.3314354445,21/12/2015
354929.301296194,567505.4994679953,21/12/2015
352865.49846122874,568880.4661490497,21/12/2015
364212.95710060163,564369.0908267777,21/12/2015
365132.2616107104,563988.7434290092,21/12/2015
346898.1844680036,586447.3860101323,21/12/2015
349642.90481409436,589455.0790046145,21/12/2015
349612.9706763816,579386.6804578685,21/12/2015
352531.4945145607,569909.4296218391,21/12/2015
357215.6120941387,583113.998947002,21/12/2015
353789.08567450935,568498.6008484492,21/12/2015
350571.6064991658,589018.3275753144,21/12/2015
348075.93318914063,588808.0546038626,22/12/2015
356612.7376131063,586165.1281715916,22/12/2015
353802.20525256067,593896.7120246638,22/12/2015
350695.01518165,588358.7483152568,22/12/2015
360025.9036424279,572299.0572418877,22/12/2015
355936.74279206723,563911.6403131619,22/12/2015
350052.51392338343,567584.7659696732,22/12/2015
350433.79560666095,581472.0966870269,22/12/2015
352769.53437501466,568693.9313893359,22/12/2015
354712.5905161129,564433.7733709404,22/12/2015
356257.66436697583,579247.6781151544,22/12/2015
346331.7952053509,587509.3233774961,22/12/2015
350141.2142763314,568036.7857349662,22/12/2015
362314.98211592785,567118.9784686369,22/12/2015
354861.68887653796,569944.271373927,22/12/2015
357306.821783873,585034.9238422759,22/12/2015
350692.5735737125,584818.5214661357,22/12/2015
359302.29198380455,561599.4046017678,22/12/2015
353067.29346433986,589620.0265987668,22/12/2015
